ID,Tên sản phẩm,Thương hiệu,Giá,Giá gốc,Giảm giá,Phần trăm giảm,Đánh giá,Số lượt đánh giá
278523761,Siêu Quậy Teppei Tập 1 – Tập 31,,22500,25000,2500,10,5.0,14
278496130,Thanh Gươm Diệt Quỷ,,28500,30000,1500,5,5.0,530
278463126,Komi - Nữ Thần Sợ Giao Tiếp ( Chọn Tập Lẻ),,28500,30000,1500,5,4.8,361
278275166,Hoa Thơm Kiêu Hãnh (Chọn tập lẻ),,44000,55000,11000,20,5.0,13
277962612,Sách Thiên Quan Tứ Phúc,,123900,169000,45100,27,4.8,92
277591013,Bộ Truyện - Itto - Cơn lốc sân cỏ,,1116250,1175000,58750,5,5.0,22
277228103,Sách Husky Và Sư Tôn Mèo Trắng Của Hắn,,119600,189000,69400,37,4.7,29
276933744,Combo Giáo Trình Chuẩn HSK 1 - Sách Bài Học và Bài tập (Bộ 2 cuốn),,284700,356000,71300,20,4.6,17
276659602,Series các tập Claymore,,36000,40000,4000,10,5.0,64
276657645,Sách Hệ Thống Tự Cứu Của Nhân Vật Phản Diện (Tái bản),,123000,179000,56000,31,4.6,42
274363543,Sách Con Đường Chẳng Mấy Ai Đi,,115000,165000,50000,30,5.0,326
273819808,Sách Tâm Lý Học Về Tiền,,150600,239000,88400,37,4.8,3797
272188850,Soul Eater,,76000,95000,19000,20,5.0,30
272155345,Sách Kính Vạn Hoa Chết Chóc,,129900,189000,59100,31,5.0,178
262664014,Combo Doraemon Truyện Ngắn,,222300,250000,27700,11,5.0,32
249876840,"Sách Beartown - Thị trấn nhỏ, giấc mơ lớn",,167000,210000,43000,20,5.0,212
202879294,Sách Người Đàn Ông Mang Tên Ove (Tái Bản),,128000,160000,32000,20,5.0,564
165030729,Sách Những Kẻ Âu Lo,,149000,180000,31000,17,5.0,211
115078652,Sách Huấn Luyện Cảm Xúc Để Con Trẻ Phát Triển Toàn Diện,,142560,198000,55440,28,5.0,91
91947689,Sách 7 Thói Quen Hiệu Quả (The 7 Habits Of Highly Effective People) - Stephen R. Covey - PACE Books,,169200,250000,80800,32,5.0,1002
13920941,Combo Doraemon - Truyện Dài (Trọn Bộ 24 Cuốn) - Tái Bản,,529200,600000,70800,12,5.0,867
2987219,Sách Giáo Trình Chuẩn YCT 1 (Kèm file MP3),,110000,138000,28000,20,4.8,180
1080002,Sách Boxset Harry Potter - Tiếng Việt (Trọn Bộ 7 Tập),,1473000,1750000,277000,16,4.7,1607
540039,Sách Giáo Trình Chuẩn HSK 1 - Bài Học (Kèm file MP3),,157000,198000,41000,21,4.8,966
279428996,Sách Chú Thuật Hồi Chiến - Tập 28,,58500,65000,6500,10,5.0,2
279394165,Thám tử thừa kế,,50000,55000,5000,9,5.0,1
279374424,Sách Chú Thuật Hồi Chiến - Tập 27,,28500,30000,1500,5,5.0,1
279292568,Song Mệnh Cõi Hoàng Tuyền,,33250,35000,1750,5,5.0,7
279258712,Sách Host Club Trường Ouran,,33250,35000,1750,5,5.0,9
279236031,"Điệu múa chim công, có ai thấy không",,51000,58000,7000,12,5.0,10
279235202,Sách Khúc Hát Đêm Thâu [Chọn Tập,,33250,35000,1750,5,4.6,9
278788044,Sách BEASTARS [Chọn Tập Lẻ,,33250,35000,1750,5,5.0,21
278756674,Sách Nisekoi - Cặp Đôi Giả Tạo,,38000,38000,0,0,5.0,18
278749523,Ngũ Hành Của Tôi Thiếu Em,,131200,179000,47800,27,5.0,34
278729052,Doraemon Movie Story Màu - Phiên Bản Mới: Nobita Và Binh Đoàn Người Sắt - Đôi Cánh Thiên Thần,,34300,35000,700,2,5.0,8
